pack,issue,title,artist,deezerId,detail
"70's Mega Hits","DUPLICATE","Mandy","Barry Manilow","5404430","also present as ""Mandy"""
"70's Mega Hits","DUPLICATE","Best of My Love (Single Version)","The Emotions","5404443","also present as ""Best of My Love"""
"70's Mega Hits","DUPLICATE","Blame It on the Boogie","The Jacksons","541408","also present as ""Blame It on the Boogie"""
"70's Mega Hits","DUPLICATE","A Horse with No Name (2006 Remaster)","America","774835","also present as ""A Horse with No Name"""
"70's Mega Hits","ODD CUT","Live And Let Die (2018 Remaster)","Paul McCartney","598235802","live/remix/instrumental/edit variant"
"70's Mega Hits","DUPLICATE","I Want You to Want Me (Live at Nippon Budokan, Tokyo, JPN - April 1978)","Cheap Trick","611315","also present as ""I Want You to Want Me"""
"70's Mega Hits","ODD CUT","I Want You to Want Me (Live at Nippon Budokan, Tokyo, JPN - April 1978)","Cheap Trick","611315","live/remix/instrumental/edit variant"
"70's Mega Hits","DUPLICATE","Show Me The Way (Live)","Peter Frampton","12255253","also present as ""Show Me The Way"""
"70's Mega Hits","ODD CUT","Show Me The Way (Live)","Peter Frampton","12255253","live/remix/instrumental/edit variant"
"70's Mega Hits","ODD CUT","Move on Up (Single Edit)","Curtis Mayfield","115195420","live/remix/instrumental/edit variant"
"70's Mega Hits","DUPLICATE","Fire and Rain (2019 Remaster)","James Taylor","713029502","also present as ""Fire and Rain"""
"70's Mega Hits","DUPLICATE","Heart of Gold (2009 Remaster)","Neil Young","3826694","also present as ""Heart of Gold (2017 Remaster)"""
"70's Mega Hits","DUPLICATE","Rich Girl","Daryl Hall & John Oates","566101","also present as ""Rich Girl"""
"70's Mega Hits","DUPLICATE","Heart Of Glass","Blondie","3151379","also present as ""Heart Of Glass (Special Mix)"""
"70's Mega Hits","DUPLICATE","Live And Let Die","Paul McCartney","126368823","also present as ""Live And Let Die (2018 Remaster)"""
"70's Mega Hits","ODD CUT","Live And Let Die","Paul McCartney","126368823","live/remix/instrumental/edit variant"
"70's Mega Hits","ODD CUT","Medley: I Want You Back / ABC / The Love You Save (Live from the 1981 U.S. Tour)","The Jacksons","3967022541","live/remix/instrumental/edit variant"
"70's Mega Hits","ODD CUT","Silly Love Songs (Demo)","Wings","3856057001","live/remix/instrumental/edit variant"
"70's Mega Hits","ODD CUT","Live And Let Die (Rockshow)","Wings","3856057061","live/remix/instrumental/edit variant"
"70's Mega Hits","ODD CUT","Islands In The Stream (Live)","Kenny Rogers","1750209627","live/remix/instrumental/edit variant"
"70's Mega Hits","ODD CUT","You're The First, The Last, My Everything (Edit)","Barry White","537988582","live/remix/instrumental/edit variant"
"70's Mega Hits","ODD CUT","Turn the Beat Around (7"" Single Edit)","Vicki Sue Robinson","5404484","live/remix/instrumental/edit variant"
"70's Mega Hits","EXPLICIT","Hurricane","Bob Dylan","15347259","Deezer explicit_lyrics = true"
