Title,Artist
"Edoras","Howard Shore"
"Main Titles (Charlie and the Chocolate Factory)","Danny Elfman"
"Professor Umbridge","Nicholas Hooper"
"Infinite White","Steve Jablonsky"
"Dueling Banjos","Eric Weissberg"
"The All Spark","Steve Jablonsky"
"Why so Serious?","Hans Zimmer"
"Life's Incredible Again","Michael Giacchino"
"Ratatouille Main Theme","Michael Giacchino"
"A Watchful Guardian","Hans Zimmer"
"West Side Story: Overture","West Side Story Orchestra"
"Brooks Was Here","Thomas Newman"
"One Last Shot","Klaus Badelt"
"The Fighting Uruk-hai","Howard Shore"
"Moonlight Serenade","Klaus Badelt"
"Samwise the Brave","Howard Shore"
"Main Title (The Shining)","Wendy Carlos"
"Introduction (Titles)","Danny Elfman"
"Shawshank Prison (Stoic Theme)","Thomas Newman"
"Main Title (Gone With the Wind)","Max Steiner"
"Introduce a Little Anarchy","Hans Zimmer"
"Agent of Chaos","Hans Zimmer"
"Gilderoy Lockhart","John Williams"
"The Room of Requirements","Nicholas Hooper"
"Revisiting Normandy (From ""Saving Private Ryan"" Soundtrack)","John Williams"
"The Power Of Love","Huey Lewis & The News"
"Mrs. Robinson (From ""The Graduate"" Soundtrack)","Simon & Garfunkel"
"I Don't Want to Miss a Thing (From ""Armageddon"" Soundtrack)","Aerosmith"
"Drink Up Me Hearties Yo Ho (From ""Pirates of the Caribbean: At World's End""/Score)","Hans Zimmer"
"Xanadu feat Olivia Newton-John","Electric Light Orchestra"
"Up Is Down (From ""Pirates of the Caribbean: At World's End""/Score)","Hans Zimmer"
"The Name's Bond... James Bond (From ""Casino Royale"" Soundtrack) (Album Version)","David Arnold"
"Hip To Be Square","Huey Lewis & The News"
"Ben","Trevor Rabin"
"Dancing In the Sheets (From ""Footloose"" Soundtrack)","Shalamar"
"Now We Are Free (Maximus Mix)","Gavin Greenaway"
"He Mele No Lilo (From ""Lilo & Stitch""/Soundtrack Version)","Mark Keali'i Ho'omalu"
"You Make My Dreams (Come True)","Daryl Hall & John Oates"
"The Sound of Silence (Electric Version)","Simon & Garfunkel"
"Hoist the Colours (From ""Pirates of the Caribbean: At World's End""/Soundtrack Version)","Hans Zimmer"
"Singapore (From ""Pirates of the Caribbean: At World's End""/Score)","Hans Zimmer"
