pack,tier,artist,title,from_movie_show,explicit,plays_in_game,deezer_id,verdict_keep_or_cut,notes
"2000's Mega Hits","Free","Eric Prydz","Proper Education (Radio Edit)","","","yes","388965251","",""
"2000's Mega Hits","Free","Estelle","American Boy","","YES","no - explicit","462849482","",""
"2000's Mega Hits","Free","Evanescence","Bring Me To Life","","","yes","80274512","",""
"2000's Mega Hits","Free","Eve","Let Me Blow Ya Mind","","YES","no - explicit","496745532","",""
"2000's Mega Hits","Free","Eve","Who's That Girl?","","YES","no - explicit","2457786","",""
"2000's Mega Hits","Free","Faithless","Music Matters featuring Cass Fox (Axwell Edit)","","","yes","38358631","",""
"2000's Mega Hits","Free","Faithless","One Step Too Far (feat. Dido) (Radio Edit)","","","yes","560280","",""
"2000's Mega Hits","Free","Fall Out Boy","Sugar, We're Goin Down","","","yes","917265","",""
"2000's Mega Hits","Free","Far East Movement","Like A G6","","","yes","7180013","",""
"2000's Mega Hits","Free","Fat Joe","What's Luv? (feat. Ja-Rule & Ashanti)","","YES","no - explicit","3905124","",""
"2000's Mega Hits","Free","Fatboy Slim","Sunset (Bird of Prey)","","","yes","131218582","",""
"2000's Mega Hits","Free","Fedde Le Grand","Put Your Hands Up for Detroit : Put Your Hands Up for Detroit (Radio Edit)","","","yes","18639001","",""
"2000's Mega Hits","Free","Feist","1234","","","yes","1176221","",""
"2000's Mega Hits","Free","Feist","My Moon My Man (Boys Noize Classic Mix)","","","yes","911117","",""
"2000's Mega Hits","Free","Fergie","Big Girls Don't Cry (Personal)","","","yes","882296","",""
"2000's Mega Hits","Free","Fergie","Glamorous","","YES","no - explicit","1577408","",""
"2000's Mega Hits","Free","Fettes Brot","Schwule Mädchen","","","yes","72101077","",""
"2000's Mega Hits","Free","Five","Everybody Get Up (Radio Edit)","","","yes","994826","",""
"2000's Mega Hits","Free","Flipsyde","Happy Birthday","","","yes","2307217","",""
"2000's Mega Hits","Free","Flo Rida","Low (feat. T-Pain)","","","yes","786826","",""
"2000's Mega Hits","Free","Flo Rida","Right Round","","","yes","4162078","",""
"2000's Mega Hits","Free","Florence + The Machine","Cosmic Love","","","yes","10584598","",""
"2000's Mega Hits","Free","Florence + The Machine","Dog Days Are Over","","","yes","7561772","",""
"2000's Mega Hits","Free","Florence + The Machine","You've Got The Love","","","yes","10584602","",""
"2000's Mega Hits","Free","Foo Fighters","Best of You","","","yes","15422120","",""
"2000's Mega Hits","Free","Foster The People","Pumped Up Kicks","","","yes","12343171","",""
"2000's Mega Hits","Free","Frank Popp Ensemble","Hip Teens Don't Wear Blue Jeans","","","yes","4691378","",""
"2000's Mega Hits","Free","Franz Ferdinand","Take Me Out","","","yes","4315684","",""
"2000's Mega Hits","Free","Freeloaders","So Much Love To Give","","","yes","4585560","",""
"2000's Mega Hits","Free","French Affair","My Heart Goes Boom (LaDiDaDa)","","","yes","-570150221","",""
"2000's Mega Hits","Free","Gabriella Cilmi","Sweet About Me","","","yes","913272","",""
"2000's Mega Hits","Free","Gabriella Cilmi","What If You Knew","","","yes","5657817","",""
"2000's Mega Hits","Free","Gabrielle","Out Of Reach","","","yes","2461263","",""
"2000's Mega Hits","Free","Gareth Gates","Anyone of Us (Stupid Mistake)","","","yes","631716","",""
"2000's Mega Hits","Free","Gavin DeGraw","I Don't Want to Be","","","yes","604745","",""
"2000's Mega Hits","Free","Gigi D'Agostino","Bla Bla Bla (Radio Cut)","","","yes","88328509","",""
"2000's Mega Hits","Free","Gigi D'Agostino","L' Amour Toujours (Radio Version)","","","yes","64672373","",""
"2000's Mega Hits","Free","Gigi D'Agostino","L'Amour Toujours","","","yes","35782811","",""
"2000's Mega Hits","Free","Gigi D'Agostino","Silence (Vision 4)","","","yes","61166881","",""
"2000's Mega Hits","Free","Gigi D'Agostino","The Riddle","","","yes","60578291","",""
"2000's Mega Hits","Free","Girls Aloud","Something Kinda Ooooh","","","yes","62418649","",""
"2000's Mega Hits","Free","Gnarls Barkley","Crazy","","","yes","2794160","",""
"2000's Mega Hits","Free","Gnarls Barkley","Smiley Faces","","","yes","2794163","",""
"2000's Mega Hits","Free","Goldfrapp","Number 1","","","yes","68924758","",""
"2000's Mega Hits","Free","Goldfrapp","Ooh La La","","","yes","68925577","",""
"2000's Mega Hits","Free","Goldfrapp","Strict Machine","","","yes","68926987","",""
"2000's Mega Hits","Free","Good Charlotte","Lifestyles of the Rich & Famous","","","yes","7675610","",""
"2000's Mega Hits","Free","Gorillaz","19-2000 (Soulchild Remix)","","","yes","3100456","",""
"2000's Mega Hits","Free","Gorillaz","Clint Eastwood","","YES","no - explicit","3100444","",""
"2000's Mega Hits","Free","Gorillaz","DARE (feat. Shaun Ryder & Roses Gabor)","","","yes","3129413","",""
"2000's Mega Hits","Free","Gorillaz","Feel Good Inc.","","","yes","3129407","",""
"2000's Mega Hits","Free","Gossip","Heavy Cross","","","yes","3056960","",""
"2000's Mega Hits","Free","Gossip","Love Long Distance (Album Version)","","","yes","3732051","",""
