OriginalTitle,OriginalArtist,OriginalDeezerId,OriginalRank,AlternativeTitle,AlternativeArtist,AlternativeAlbum,AlternativeDeezerId,AlternativeRank,AlternativeDurationSec,DeezerTrackUrl,AlternativePreviewUrl,ConfidenceNote
"1979","The Smashing Pumpkins","7753178","17130","1979","The Smashing Pumpkins","Aeroplane Flies High (Deluxe Edition)","68976286","783250","266","https://www.deezer.com/us/track/68976286","https://cdnt-preview.dzcdn.net/api/1/1/b/8/8/0/b88841c8283987ab0fd90008ade3c179.mp3?hdnea=exp=1781058098~acl=/api/1/1/b/8/8/0/b88841c8283987ab0fd90008ade3c179.mp3*~data=user_id=0,application_id=42~hmac=67ecf049fd972e687e7b8a02f593da97f1686173d990ca129fdaf95e1f6a947f","Exact title match"
"Still D.R.E.","Dr. Dre","1579474","16000","Still D.R.E.","Dr. Dre","2001","128743581","943997","271","https://www.deezer.com/us/track/128743581","https://cdnt-preview.dzcdn.net/api/1/1/4/1/d/0/41d9fb46521ba20ae23d5bd6e017b166.mp3?hdnea=exp=1781058098~acl=/api/1/1/4/1/d/0/41d9fb46521ba20ae23d5bd6e017b166.mp3*~data=user_id=0,application_id=42~hmac=65ee2fb486992784be379dab1729ac8494810a375e59744bb312dfd726211ff9","Exact title match"
"The Sign","Ace of Base","19271661","15985","The Sign","Ace of Base","The Sign","93851026","748405","191","https://www.deezer.com/us/track/93851026","https://cdnt-preview.dzcdn.net/api/1/1/5/a/7/0/5a7d977a0bcba71bdd40c4e3cb786a6d.mp3?hdnea=exp=1781058098~acl=/api/1/1/5/a/7/0/5a7d977a0bcba71bdd40c4e3cb786a6d.mp3*~data=user_id=0,application_id=42~hmac=494f449cc44e4f31b4396344bca80aeca199e876347e0ac3a420dc7832588227","Exact title match"
"Tubthumping","Chumbawamba","3137092","15902","Tubthumping (Radio Edit)","Chumbawamba","Forgotten 90's Hits","1240062852","537695","208","https://www.deezer.com/us/track/1240062852","https://cdnt-preview.dzcdn.net/api/1/1/b/a/8/0/ba8139a03cdc862b114f8354ebd690c9.mp3?hdnea=exp=1781058099~acl=/api/1/1/b/a/8/0/ba8139a03cdc862b114f8354ebd690c9.mp3*~data=user_id=0,application_id=42~hmac=60d0e5eb3aa44f755cbe9e789c6ebe9f1c212df8893c0655b0954d84b5d245c5","Exact title match"
"Smells Like Teen Spirit","Nirvana","1112991","15824","Smells Like Teen Spirit","Nirvana","Nevermind (Deluxe Edition)","13693497","636897","301","https://www.deezer.com/us/track/13693497","https://cdnt-preview.dzcdn.net/api/1/1/2/0/9/0/209a06199fb400a39068b4bae831b0e3.mp3?hdnea=exp=1781058099~acl=/api/1/1/2/0/9/0/209a06199fb400a39068b4bae831b0e3.mp3*~data=user_id=0,application_id=42~hmac=07c06985148a2b13002b02f493d1c4c2fba073bf19969a06400cbc4a46689c06","Exact title match"
"Counting Blue Cars (Tell Me Your Thoughts On God)","Dishwalla","115706386","14744","Counting Blue Cars (Tell Me Your Thoughts On God)","Dishwalla","Pet Your Friends","7372621","416372","292","https://www.deezer.com/us/track/7372621","https://cdnt-preview.dzcdn.net/api/1/1/2/b/f/0/2bfb747b0582e8e75df647322845575b.mp3?hdnea=exp=1781058099~acl=/api/1/1/2/b/f/0/2bfb747b0582e8e75df647322845575b.mp3*~data=user_id=0,application_id=42~hmac=5f94e33bbacc0bd027692343fb34ff105634d31c31cc8aeaea5162b1be325d08","Exact title match"
"Praise You","Fatboy Slim","69743350","13153","Praise You","Fatboy Slim","You've Come A Long Way Baby","15686777","300870","250","https://www.deezer.com/us/track/15686777","https://cdnt-preview.dzcdn.net/api/1/1/7/8/d/0/78d7c9ee2dbfcb8e42ff4658c733521b.mp3?hdnea=exp=1781058099~acl=/api/1/1/7/8/d/0/78d7c9ee2dbfcb8e42ff4658c733521b.mp3*~data=user_id=0,application_id=42~hmac=92f9306facf464d07a997b67b60f03fc3192f53cde09e8011afad0d3ba55aff6","Exact title match"
"Nothing Compares 2 U","Sinéad O'Connor","3100405","11691","Nothing Compares 2 U","Sinéad O'Connor","So Far: The Best of Sinéad O'Connor","1787569267","829675","280","https://www.deezer.com/us/track/1787569267","https://cdnt-preview.dzcdn.net/api/1/1/c/b/a/0/cba38c67b7aa5bb88d87df8d28af07d0.mp3?hdnea=exp=1781058100~acl=/api/1/1/c/b/a/0/cba38c67b7aa5bb88d87df8d28af07d0.mp3*~data=user_id=0,application_id=42~hmac=e5d99a8cc408900caf92cba96b4b41f92aa3992d92805dd2a7eeb207007cb48c","Exact title match"
"It's My Life","Dr. Alban","1048727","11678","It's My Life (Radio Edit)","Dr. Alban","The Very Best of 1990-1997","3801448032","711397","240","https://www.deezer.com/us/track/3801448032","https://cdnt-preview.dzcdn.net/api/1/1/b/8/7/0/b8765771b4bb2fa6bfc20ae0e8b071b3.mp3?hdnea=exp=1781058100~acl=/api/1/1/b/8/7/0/b8765771b4bb2fa6bfc20ae0e8b071b3.mp3*~data=user_id=0,application_id=42~hmac=c630f3ca0bbf8b1b98e777a7aaa5130b07fa4167c8fda02afb31cca821411208","Exact title match"
"What Is Love (7"" Mix)","Haddaway","61590162","11647","What Is Love (7"" Mix)","Haddaway","90 Discomania","3641283332","267068","268","https://www.deezer.com/us/track/3641283332","https://cdnt-preview.dzcdn.net/api/1/1/c/b/7/0/cb7de4592d81639d695cab5ec325a49f.mp3?hdnea=exp=1781058100~acl=/api/1/1/c/b/7/0/cb7de4592d81639d695cab5ec325a49f.mp3*~data=user_id=0,application_id=42~hmac=923a8d1d8888335c88a5ba8e105eb0ca85fedfba33aed866a11ed047b272750f","Exact title match"
"Forgot About Dre","Dr. Dre","1579480","11634","Forgot About Dre","Dr. Dre","2001","128743593","800992","222","https://www.deezer.com/us/track/128743593","https://cdnt-preview.dzcdn.net/api/1/1/3/8/6/0/386934fb234fcbad988e0d49da77c597.mp3?hdnea=exp=1781058101~acl=/api/1/1/3/8/6/0/386934fb234fcbad988e0d49da77c597.mp3*~data=user_id=0,application_id=42~hmac=0f00af0e023f9085cc263abd946c53d6d0a95649d697eb22da92908f4637a7e7","Exact title match"
"Man! I Feel Like A Woman!","Shania Twain","7442363","11623","Man! I Feel Like A Woman!","Shania Twain","Come On Over","537991732","809689","234","https://www.deezer.com/us/track/537991732","https://cdnt-preview.dzcdn.net/api/1/1/3/6/0/0/360758f5f5198f6d3ac51931b4876dc7.mp3?hdnea=exp=1781058101~acl=/api/1/1/3/6/0/0/360758f5f5198f6d3ac51931b4876dc7.mp3*~data=user_id=0,application_id=42~hmac=611aea657b9b0ab2439bd4fedca38e50059f0d4b336e0cb9fb1ba1966befa73f","Exact title match"
"Streets of Philadelphia","Bruce Springsteen","7675471","11617","Streets of Philadelphia (Single Edit)","Bruce Springsteen","Greatest Hits","552942362","859376","196","https://www.deezer.com/us/track/552942362","https://cdnt-preview.dzcdn.net/api/1/1/5/1/8/0/5185b7103c6956ca49d7c0cdd836d413.mp3?hdnea=exp=1781058101~acl=/api/1/1/5/1/8/0/5185b7103c6956ca49d7c0cdd836d413.mp3*~data=user_id=0,application_id=42~hmac=570ca8acf0e2bd9515ca1246cf853e92723adaf8476c5e009c0577345d513de1","Exact title match"
"Gangsta's Paradise","Coolio","409962492","11578","Gangsta's Paradise","Coolio","Gangsta's Paradise","1584416372","968342","240","https://www.deezer.com/us/track/1584416372","https://cdnt-preview.dzcdn.net/api/1/1/3/f/1/0/3f19df3b484b0ab61f5e2de5820ceac2.mp3?hdnea=exp=1781058102~acl=/api/1/1/3/f/1/0/3f19df3b484b0ab61f5e2de5820ceac2.mp3*~data=user_id=0,application_id=42~hmac=b5aaa1ec6e898fe42bfcc2a084f70a9629aa1723c532f86947af0d6e700bf1ea","Exact title match"
