OriginalTitle,OriginalArtist,OriginalDeezerId,AlternativeTitle,AlternativeArtist,AlternativeDeezerId
"(thematic candidate)","","","Hand Covers Bruise","Trent Reznor and Atticus Ross","57428311"
"(thematic candidate)","","","Life's Incredible Again","Michael Giacchino","24185291"
"(thematic candidate)","","","528491","Hans Zimmer","6524411"
"(thematic candidate)","","","Astrid Goes For A Spin","John Powell","119437642"
"(thematic candidate)","","","Main on End","Alan Silvestri","669424122"
"(thematic candidate)","","","Ratatouille Main Theme (From ""Ratatouille""/Score)","Michael Giacchino","3107478"
"(thematic candidate)","","","Love On A Real Train (From 'Risky Business' Original Motion Picture Soundtrack / Remastered 2020)","Tangerine Dream","1118037542"
"(thematic candidate)","","","Main Title","John Paesano","105863724"
"(thematic candidate)","","","In Motion","Trent Reznor and Atticus Ross","57428321"
"(thematic candidate)","","","A Watchful Guardian","Hans Zimmer","4091767"
"(thematic candidate)","","","West Side Story: Overture","West Side Story Orchestra","71946981"
"(thematic candidate)","","","Brooks Was Here","Thomas Newman","4273198"
"(thematic candidate)","","","Opening Travel Music","David Newman","118586208"
"(thematic candidate)","","","One Last Shot","Klaus Badelt","3117930"
"(thematic candidate)","","","Hello Zepp + Overture","Charlie Clouser","426966262"
"(thematic candidate)","","","The Arrival of Kai","Hans Zimmer","117726012"
"(thematic candidate)","","","Night At The Museum","Alan Silvestri","118583960"
"(thematic candidate)","","","Hymn To The Fallen (From ""Saving Private Ryan"" Soundtrack)","John Williams","1108040"
"(thematic candidate)","","","The Fighting Uruk-hai","Howard Shore","483263142"
"(thematic candidate)","","","Moonlight Serenade","Klaus Badelt","3117925"
"(thematic candidate)","","","Samwise the Brave","Howard Shore","783650"
"(thematic candidate)","","","Should You Choose to Accept...","Lorne Balfe","527863471"
"(thematic candidate)","","","Main Title (The Shining)","Wendy Carlos","1105410342"
"(thematic candidate)","","","Story Of Wick","Tyler Bates","117728308"
"(thematic candidate)","","","Introduction (Titles)","Danny Elfman","1097352"
"(thematic candidate)","","","Together We Map the World","John Powell","78917797"
"(thematic candidate)","","","Far From Home Suite Home (from ""Spider-Man: Far From Home"" Soundtrack)","Michael Giacchino","698311922"
"(thematic candidate)","","","This Time For Sure","John Powell","119437640"
"(thematic candidate)","","","Radical Notion","Hans Zimmer","6524408"
"(thematic candidate)","","","The Imperial Suite","Michael Giacchino","138166345"
"(thematic candidate)","","","Battle of the Heroes","John Williams","493883792"
"(thematic candidate)","","","Wakanda","Ludwig Göransson","462106672"
"(thematic candidate)","","","Rey's Theme","John Williams","115709934"
"(thematic candidate)","","","Dream Within a Dream","Hans Zimmer","6524416"
"(thematic candidate)","","","The Rock Suite","Hans Zimmer","3086351781"
"(thematic candidate)","","","Ballade in C# Minor: Coronation","Nicholas Britell","784001862"
"(thematic candidate)","","","Po Belongs","Hans Zimmer","117726030"
"(thematic candidate)","","","Shawshank Prison (Stoic Theme)","Thomas Newman","4273195"
"(thematic candidate)","","","Man of Steel: What Are You Going to Do When You Are Not Saving The World?","Hans Zimmer","3086351751"
"(thematic candidate)","","","Old Souls","Hans Zimmer","6524409"
"(thematic candidate)","","","Thor: The Dark World (From ""Thor: The Dark World""/Score)","Brian Tyler","71705261"
"(thematic candidate)","","","Bemidji, MN (Fargo Series Main Theme)","Jeff Russo","79266197"
"(thematic candidate)","","","Praying","Rupert Gregson-Williams","135376138"
"(thematic candidate)","","","Pure Imagination (From ""Willy Wonka & The Chocolate Factory"" Soundtrack)","Gene Wilder","2122407"
"(thematic candidate)","","","The Vikings Have Their Tea","John Powell","119437664"
"(thematic candidate)","","","Main Title (Gone With the Wind)","Max Steiner","647312382"
"(thematic candidate)","","","Killmonger","Ludwig Göransson","462106722"
"(thematic candidate)","","","Theme from Black Sails","Bear McCreary","1869679097"
"(thematic candidate)","","","The Dragon Book","John Powell","119437626"
"(thematic candidate)","","","Main Title","Siddhartha Khosla","1470227982"
"(thematic candidate)","","","Introduce a Little Anarchy","Hans Zimmer","904639"
"(thematic candidate)","","","Take It, It's Yours","Carlos Rafael Rivera","1110338542"
