Source,Kind,Year,CanonicalTitle,TrackCount
"The Big Lebowski","MOVIE","1998","The Big Lebowski","2"
"The Bodyguard","MOVIE","1992","The Bodyguard","1"
"The Bourne Ultimatum","MOVIE","2007","The Bourne Ultimatum","1"
"The Breakfast Club","MOVIE","1985","The Breakfast Club","3"
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe","MOVIE","2005","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","2"
"The Da Vinci Code","MOVIE","2006","The Da Vinci Code","1"
"The Dark Knight","MOVIE","2008","The Dark Knight","6"
"The Endless Love","MOVIE","1981","Endless Love","1"
"The First Wives Club","MOVIE","1996","The First Wives Club","1"
"The Good, The Bad And The Ugly","MOVIE","1966","The Good, the Bad and the Ugly","2"
"The Goonies","MOVIE","1985","The Goonies","1"
"The Graduate","MOVIE","1967","The Graduate","3"
"The Greatest Showman","MOVIE","2017","The Greatest Showman","5"
"The Holiday","MOVIE","2006","The Holiday","1"
"The Hunger Games: Mockingjay","MOVIE","2014","The Hunger Games: Mockingjay","1"
"The Incredibles","MOVIE","2004","The Incredibles","2"
"The Karate Kid Part II","MOVIE","1986","The Karate Kid Part II","1"
"The Last Dragon","MOVIE","1985","The Last Dragon","1"
"The Last Samurai","MOVIE","2003","The Last Samurai","2"
"The Lion King","MOVIE","1994","The Lion King","3"
"The Little Mermaid","MOVIE","1989","The Little Mermaid","3"
"The Living Daylights","MOVIE","1987","The Living Daylights","1"
"The Lord of the Rings: The Fellowship of the Ring","MOVIE","2001","The Lord of the Rings: The Fellowship of the Ring","7"
"The Lord of the Rings: The Return of the King","MOVIE","2003","The Lord of the Rings: The Return of the King","1"
"The Lord of the Rings: The Two Towers","MOVIE","2002","The Lord of the Rings: The Two Towers","4"
"The Lost Boys","MOVIE","1987","The Lost Boys","2"
"The Motorcycle Diaries","MOVIE","2004","The Motorcycle Diaries","1"
"The Munsters","TV","1964","The Munsters","1"
"The Muppet Movie","MOVIE","1979","The Muppet Movie","1"
"The NeverEnding Story","MOVIE","1984","The NeverEnding Story","1"
"The Piano","MOVIE","1993","The Piano","2"
"The Polar Express","MOVIE","2004","The Polar Express","1"
"The Rocky Horror Picture Show","MOVIE","1975","The Rocky Horror Picture Show","2"
"The Royal Tenenbaums","MOVIE","2001","The Royal Tenenbaums","1"
"The Shawshank Redemption","MOVIE","1994","The Shawshank Redemption","2"
"The Shining","MOVIE","1980","The Shining","1"
"The Silence of the Lambs","MOVIE","1991","The Silence of the Lambs","2"
"The Twilight Saga: Breaking Dawn","MOVIE","2011","Breaking Dawn","1"
"The Wall","MOVIE","1982","The Wall","1"
"The Wedding Singer","MOVIE","1998","The Wedding Singer","1"
"The Wizard of Oz","MOVIE","1939","The Wizard of Oz","2"
"The Woman in Red","MOVIE","1984","The Woman in Red","1"
"Thriller","OTHER","1982","Thriller","1"
"Titanic","MOVIE","1997","Titanic","1"
"Top Gun","MOVIE","1986","Top Gun","7"
"Top Gun: Maverick","MOVIE","2022","Top Gun: Maverick","1"
"Toy Story","MOVIE","1995","Toy Story","2"
"Toy Story 2","MOVIE","1999","Toy Story 2","2"
"Trainspotting","MOVIE","1996","Trainspotting","2"
"Transformers","MOVIE","2007","Transformers","3"
"Transformers: Revenge of the Fallen","MOVIE","2009","Transformers: Revenge of the Fallen","2"
"Turning Red","MOVIE","2022","Turning Red","1"
"Under the Cherry Moon","MOVIE","1986","Under the Cherry Moon","1"
"Up","MOVIE","2009","Up","1"
"Up Close and Personal","MOVIE","1996","Up Close and Personal","1"
"Valley Girl","MOVIE","1983","Valley Girl","1"
"Vision Quest","MOVIE","1985","Vision Quest","1"
"We Are Family","OTHER","1979","We Are Family","1"
"We Are The World","OTHER","1985","We Are the World","1"
"West Side Story","MOVIE","1961","West Side Story","1"
"When Harry Met Sally","MOVIE","1989","When Harry Met Sally","1"
"White Chicks","MOVIE","2004","White Chicks","1"
"White Nights","MOVIE","1985","White Nights","1"
"Wicked","MUSICAL","2003","Wicked","3"
"Willy Wonka and the Chocolate Factory","MOVIE","1971","Willy Wonka and the Chocolate Factory","1"
"Xanadu","MOVIE","1980","Xanadu","1"
"Zoolander","MOVIE","2001","Zoolander","1"
